Depth,MoveType,N,SilMean,SilMedian,SilStd
dorsal STN,HAND OC,15,-0.118736238227091,-0.00108962854644242,0.269813413081256
dorsal STN,HAND PS,15,-0.198941564777501,-0.120490025781521,0.191769520433151
dorsal STN,ARM EF,15,0.603437516230746,0.673162884937044,0.143439547258353
central STN,HAND OC,15,-0.136943614177095,-0.115500617251771,0.320011366134902
central STN,HAND PS,15,-0.151812807474291,-0.0639652602116542,0.256981008548321
central STN,ARM EF,15,0.413595112100574,0.508923690333793,0.194678717796737
ventral STN,HAND OC,15,0.149753640099161,0.242640531942284,0.311308310401274
ventral STN,HAND PS,15,-0.364396692922733,-0.356585021689881,0.154247194276325
ventral STN,ARM EF,15,0.473621732092909,0.500834663716271,0.111666833705794
